1: param_1_biomass1='0.05', param_2_biomass2='0.05', param_3_gly1='-4', param_4_gly2='-10',1,3.38324
2: param_1_biomass1='0.025', param_2_biomass2='0.02', param_3_gly1='-0.5', param_4_gly2='-2',2,3.37276
3: param_1_biomass1='0.03', param_2_biomass2='0.01', param_3_gly1='-0.5', param_4_gly2='-6',3,3.35065
4: param_1_biomass1='0.02', param_2_biomass2='0.03', param_3_gly1='-5', param_4_gly2='-2',4,2.7302
5: param_1_biomass1='0.03', param_2_biomass2='0.07', param_3_gly1='-0.5', param_4_gly2='-4',5,2.8248
6: param_1_biomass1='0.025', param_2_biomass2='0.02', param_3_gly1='-3', param_4_gly2='-1',6,3.37276
7: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-4',7,3.39166
8: param_1_biomass1='0.015', param_2_biomass2='0.05', param_3_gly1='-3', param_4_gly2='-0.1',8,1.86091
9: param_1_biomass1='0.1', param_2_biomass2='0.07', param_3_gly1='-6', param_4_gly2='-4',9,3.34536
10: param_1_biomass1='0.01', param_2_biomass2='0.05', param_3_gly1='-10', param_4_gly2='-15',10,1.39497
11: param_1_biomass1='0.03', param_2_biomass2='0.1', param_3_gly1='-6', param_4_gly2='-6',11,2.56297
12: param_1_biomass1='0.02', param_2_biomass2='0.015', param_3_gly1='-15', param_4_gly2='-1',12,3.38724
13: param_1_biomass1='0.02', param_2_biomass2='0.01', param_3_gly1='-5', param_4_gly2='-15',13,3.37439
14: param_1_biomass1='0.025', param_2_biomass2='0.03', param_3_gly1='-5', param_4_gly2='-2',14,3.25841
15: param_1_biomass1='0.05', param_2_biomass2='0.02', param_3_gly1='-6', param_4_gly2='-1',15,3.34154
16: param_1_biomass1='0.05', param_2_biomass2='0.03', param_3_gly1='-5', param_4_gly2='-15',16,3.33062
17: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-10', param_4_gly2='-6',17,3.38139
18: param_1_biomass1='0.05', param_2_biomass2='0.07', param_3_gly1='-2', param_4_gly2='-6',18,3.33461
19: param_1_biomass1='0.1', param_2_biomass2='0.02', param_3_gly1='-20', param_4_gly2='-15',19,3.35246
20: param_1_biomass1='0.1', param_2_biomass2='0.01', param_3_gly1='-5', param_4_gly2='-10',20,3.36178
21: param_1_biomass1='0.07', param_2_biomass2='0.015', param_3_gly1='-15', param_4_gly2='-10',21,3.33423
22: param_1_biomass1='0.02', param_2_biomass2='0.02', param_3_gly1='-5', param_4_gly2='-20',22,3.14557
23: param_1_biomass1='0.1', param_2_biomass2='0.025', param_3_gly1='-10', param_4_gly2='-7.5',23,3.36938
24: param_1_biomass1='0.07', param_2_biomass2='0.015', param_3_gly1='-0.5', param_4_gly2='-0.1',24,3.33423
25: param_1_biomass1='0.07', param_2_biomass2='0.025', param_3_gly1='-10', param_4_gly2='-5',25,3.33439
26: param_1_biomass1='0.1', param_2_biomass2='0.025', param_3_gly1='-10', param_4_gly2='-0.1',26,3.36938
27: param_1_biomass1='0.05', param_2_biomass2='0.025', param_3_gly1='-20', param_4_gly2='-6',27,3.36562
28: param_1_biomass1='0.015', param_2_biomass2='0.03', param_3_gly1='-1', param_4_gly2='-7.5',28,2.17799
29: param_1_biomass1='0.1', param_2_biomass2='0.025', param_3_gly1='-10', param_4_gly2='-3',29,3.36938
30: param_1_biomass1='0.1', param_2_biomass2='0.015', param_3_gly1='-15', param_4_gly2='-10',30,3.3452
31: param_1_biomass1='0.07', param_2_biomass2='0.025', param_3_gly1='-20', param_4_gly2='-5',31,3.33439
32: param_1_biomass1='0.03', param_2_biomass2='0.02', param_3_gly1='-10', param_4_gly2='-4',32,3.33868
33: param_1_biomass1='0.02', param_2_biomass2='0.01', param_3_gly1='-2', param_4_gly2='-3',33,3.37439
34: param_1_biomass1='0.015', param_2_biomass2='0.025', param_3_gly1='-3', param_4_gly2='-2',34,2.33409
35: param_1_biomass1='0.02', param_2_biomass2='0.015', param_3_gly1='-5', param_4_gly2='-3',35,3.38724
36: param_1_biomass1='0.02', param_2_biomass2='0.05', param_3_gly1='-20', param_4_gly2='-10',36,2.289
37: param_1_biomass1='0.02', param_2_biomass2='0.025', param_3_gly1='-0.1', param_4_gly2='-2',37,2.93304
38: param_1_biomass1='0.015', param_2_biomass2='0.05', param_3_gly1='-0.1', param_4_gly2='-3',38,1.86091
39: param_1_biomass1='0.02', param_2_biomass2='0.025', param_3_gly1='-15', param_4_gly2='-0.5',39,2.93304
40: param_1_biomass1='0.01', param_2_biomass2='0.03', param_3_gly1='-4', param_4_gly2='-7.5',40,1.64373
41: param_1_biomass1='0.02', param_2_biomass2='0.01', param_3_gly1='-1', param_4_gly2='-1',41,3.37439
42: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-6', param_4_gly2='-20',42,3.36284
43: param_1_biomass1='0.02', param_2_biomass2='0.025', param_3_gly1='-0.5', param_4_gly2='-1',43,2.93304
44: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-20', param_4_gly2='-0.5',44,3.39456
45: param_1_biomass1='0.015', param_2_biomass2='0.02', param_3_gly1='-0.1', param_4_gly2='-6',45,2.53046
46: param_1_biomass1='0.025', param_2_biomass2='0.02', param_3_gly1='-20', param_4_gly2='-3',46,3.37276
47: param_1_biomass1='0.025', param_2_biomass2='0.07', param_3_gly1='-1', param_4_gly2='-4',47,2.45239
48: param_1_biomass1='0.07', param_2_biomass2='0.1', param_3_gly1='-20', param_4_gly2='-10',48,3.39926
49: param_1_biomass1='0.025', param_2_biomass2='0.01', param_3_gly1='-20', param_4_gly2='-2',49,3.3332
50: param_1_biomass1='0.07', param_2_biomass2='0.03', param_3_gly1='-2', param_4_gly2='-4',50,3.34333
51: param_1_biomass1='0.025', param_2_biomass2='0.03', param_3_gly1='-0.1', param_4_gly2='-2',51,3.25841
52: param_1_biomass1='0.025', param_2_biomass2='0.01', param_3_gly1='-20', param_4_gly2='-0.5',52,3.3332
